 #,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Parent Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,Label,ISRC,Explicit
308,"Tie That Binds","Drake",120,9A,69,2026-08-10,05:36,60,"rap","Hip Hop","Honestly, Nevermind",2022-06-17,78,2,9,28,0,10,-11,E minor,4,1XsRwo2it6QHdV2OiT6IzF,"OVO",USUG12204894,no
309,"I Guess It’s Fuck Me","Drake",82,9A,32,2026-08-10,04:23,67,"rap","Hip Hop","Her Loss",2022-11-04,28,50,0,5,0,20,-12,E minor,4,31bsuKDOzFGzBAoXxtnAJm,"OVO / Republic Records",USUG12208613,yes
310,"Amen (feat. Teezo Touchdown)","Drake, Teezo Touchdown",90,8B,61,2026-08-10,02:21,60,"rap, indie hip hop","Hip Hop, Rock","For All The Dogs",2023-10-06,65,6,0,31,10,20,-8,C,3,0Mrnt1YqVuW2bqmwu4VxDt,"OVO/Republic",USUG12306067,yes
311,"Calling For You (feat. 21 Savage)","Drake, 21 Savage",121,8B,55,2026-08-10,04:45,63,"rap, atl hip hop, hip hop","Hip Hop","For All The Dogs",2023-10-06,57,5,0,10,10,10,-7,C,4,2nibvvDdAQkVraYP00z2RS,"OVO/Republic",USUG12306068,yes
312,"Fear Of Heights","Drake",137,6A,32,2026-08-10,02:35,63,"rap","Hip Hop","For All The Dogs",2023-10-06,70,1,0,7,20,10,-9,G minor,4,53KaP77tkliz36LPxWGlWK,"OVO/Republic",USUG12306069,yes
313,"Daylight","Drake",140,3A,56,2026-08-10,02:44,63,"rap","Hip Hop","For All The Dogs",2023-10-06,57,1,0,7,20,10,-8,A#/B♭ minor,4,4ZT0wGKwlJRjpMUuwZVy3p,"OVO/Republic",USUG12306070,yes
314,"First Person Shooter (feat. J. Cole)","Drake, J. Cole",164,10A,66,2026-08-10,04:07,74,"rap","Hip Hop","For All The Dogs",2023-10-06,48,3,0,25,30,30,-7,B minor,4,7aqfrAY2p9BUSiupwk3svU,"OVO/Republic",USUG12306071,yes
315,"7969 Santa","Drake",141,3A,49,2026-08-10,04:19,64,"rap","Hip Hop","For All The Dogs",2023-10-06,49,55,0,33,0,10,-9,A#/B♭ minor,4,1GpWY5RiInhezB8wGWs6oN,"OVO/Republic",USUG12306073,yes
316,"Slime You Out (feat. SZA)","Drake, SZA",89,4A,41,2026-08-10,05:10,72,"rap, r&b","R&B, Hip Hop","For All The Dogs",2023-10-06,48,51,0,11,0,20,-9,F minor,3,0AYt6NMyyLd0rLuvr0UkMH,"OVO/Republic",USUG12306064,yes
317,"Drew A Picasso","Drake",128,9B,38,2026-08-10,04:22,70,"rap","Hip Hop","For All The Dogs",2023-10-06,71,33,0,15,20,10,-11,G,4,03rwnftfgpYVO6QDWOZcG6,"OVO/Republic",USUG12306078,yes
318,"Members Only (feat. PARTYNEXTDOOR)","Drake, PARTYNEXTDOOR",92,7A,34,2026-08-10,04:37,71,"rap, dark r&b, r&b, trap soul","R&B, Hip Hop","For All The Dogs",2023-10-06,65,25,0,18,0,10,-9,D minor,4,24FUBxaAYSBlWsbSnEzDcn,"OVO/Republic",USUG12306079,yes
319,"What Would Pluto Do","Drake",96,3A,56,2026-08-10,03:02,65,"rap","Hip Hop","For All The Dogs",2023-10-06,83,5,0,47,10,20,-8,A#/B♭ minor,4,1DAibqbopEYULPEtE8WHTE,"OVO/Republic",USUG12306080,yes
320,"8am in Charlotte","Drake",79,12B,68,2026-08-10,04:26,69,"rap","Hip Hop","For All The Dogs",2023-10-06,57,64,0,67,20,50,-6,E,4,0w3Mfe4PIVjuFjJbe3OlYv,"OVO/Republic",USUG12306082,yes
321,"Gently (feat. Bad Bunny)","Drake, Bad Bunny",108,6A,45,2026-08-10,02:13,69,"rap, reggaeton, trap latino, latin, urbano latino","Latin, Hip Hop","For All The Dogs",2023-10-06,87,5,0,24,30,10,-7,G minor,4,6ZprqcYFC6D9eIZaCoqrSn,"OVO/Republic",USUG12306084,yes
322,"Rich Baby Daddy (feat. Sexyy Red & SZA)","Drake, Sexyy Red, SZA",146,10B,73,2026-08-10,05:19,80,"rap, trap queen, r&b","R&B, Hip Hop","For All The Dogs",2023-10-06,64,5,0,14,0,30,-4,D,4,1yeB8MUNeLo9Ek1UEpsyz6,"OVO/Republic",USUG12306085,yes
323,"Away From Home","Drake",93,3B,63,2026-08-10,04:18,67,"rap","Hip Hop","For All The Dogs",2023-10-06,85,2,0,23,0,10,-8,C♯/D♭,4,4IcbUXrAzBtn6iUO1LP471,"OVO/Republic",USUG12306087,yes
324,"Polar Opposites","Drake",77,4A,27,2026-08-10,04:17,67,"rap","Hip Hop","For All The Dogs",2023-10-06,44,9,0,34,0,10,-14,F minor,4,3oZZfVvLJuDYc4Vn3A63Fw,"OVO/Republic",USUG12306088,yes
325,"Red Button","Drake",114,8B,71,2026-08-10,02:40,61,"rap","Hip Hop","For All The Dogs Scary Hours Edition",2023-11-17,46,16,0,39,10,10,-6,C,5,5Mc8XDfGQCMkOEZm9rS1cE,"OVO/Republic",USUG12306112,yes
326,"The Shoe Fits","Drake",74,9A,79,2026-08-10,06:14,61,"rap","Hip Hop","For All The Dogs Scary Hours Edition",2023-11-17,35,29,0,65,30,30,-7,E minor,4,2Mph2Rvl5kVg0MYtfV60wZ,"OVO/Republic",USUG12306116,yes
327,"Wick Man","Drake",86,10B,93,2026-08-10,03:01,57,"rap","Hip Hop","For All The Dogs Scary Hours Edition",2023-11-17,48,35,0,52,40,20,-7,D,4,4ASBfwBwwo7DTT2zq9YSLP,"OVO/Republic",USUG12306118,yes
328,"Evil Ways (feat. J. Cole)","Drake, J. Cole",78,3B,78,2026-08-10,03:47,61,"rap","Hip Hop","For All The Dogs Scary Hours Edition",2023-11-17,56,5,0,25,30,20,-5,C♯/D♭,4,2ut4BOQSqxLpcX5MtPjzYa,"OVO/Republic",USUG12306120,yes
329,"CN TOWER","PARTYNEXTDOOR, Drake",127,2A,41,2026-08-10,04:01,73,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,67,32,0,22,10,10,-7,D#/E♭ minor,4,4u43I0LP2Xf85OAS85eG0R,"OVO Sound",USLD91772019,yes
330,"Signs","Drake",107,8B,74,2026-08-10,03:54,72,"rap","Hip Hop","Signs",2017-06-23,79,11,1,22,0,10,-4,C,4,6Na5uKk5SsqZimk0hAWo8y,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51700269,no
331,"Forever","Drake, Kanye West, Lil Wayne, Eminem",104,4A,91,2026-08-10,05:57,73,"rap, hip hop","Hip Hop","Relapse: Refill",2009-05-15,46,25,0,54,30,10,-2,F minor,5,5UsLjwBaTHBX4ektWIr4XX,"Eminem Catalog PS",USUM70920707,yes
332,"She Will","Lil Wayne, Drake",100,4B,84,2026-08-10,05:05,80,"rap, hip hop","Hip Hop","Tha Carter IV (Complete Edition)",2011-08-29,36,0,0,8,10,20,-5,G#/A♭,5,0b4M7hd7mzLTm99MrMeZsp,"CM/Republic",USCM51100309,yes
333,"Live For","The Weeknd, Drake",76,8B,68,2026-08-10,03:42,59,"canadian contemporary r&b, canadian pop, pop, rap","R&B, Pop, Hip Hop","Kiss Land",2013-09-10,62,52,0,23,10,10,-8,C,4,3kgqHVqfiabABjaFi9Tnhn,"CP Records",USUM71310344,yes
334,"MIA (feat. Drake)","Bad Bunny, Drake",97,11A,54,2026-08-10,03:30,72,"reggaeton, trap latino, latin, urbano latino, rap","Latin, Hip Hop","MIA (feat. Drake)",2018-10-11,82,1,0,16,0,10,-6,F#/G♭ minor,4,3Ueq2zboxwAbsvHrOjdEqz,"OVO Sound",USWB11802236,no
335,"Charged Up","Drake",174,11A,70,2026-08-10,03:09,51,"rap","Hip Hop","Charged Up",2015-07-31,46,91,0,38,50,10,-7,F#/G♭ minor,4,4pc01CAhGKx15PY23uPjHp,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500239,yes
336,"Back To Back","Drake",87,12A,48,2026-08-10,02:50,70,"rap","Hip Hop","Back To Back",2015-07-31,89,1,0,38,30,10,-4,C♯/D♭ minor,4,5lFDtgWsjRJu8fPOAyJIAK,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51500241,yes
337,"My Love (feat. Drake)","Majid Jordan, Drake",119,7A,54,2026-08-10,04:08,56,"canadian contemporary r&b, canadian hip hop, rap","R&B, Hip Hop","Majid Jordan",2016-02-05,62,11,0,13,0,10,-10,D minor,4,5fgTKJ5PTbRLzem1tkfFjx,"OVO Sound",USWB11507566,no
338,"Come and See Me (feat. Drake)","PARTYNEXTDOOR, Drake",85,10B,35,2026-08-10,03:55,67,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","PARTYNEXTDOOR 3 (P3)",2016-08-12,77,5,0,6,0,0,-10,D,4,6cEguiQecbXrFlsnMi2ysr,"OVO Sound",USWB11600360,yes
339,"For Free (feat. Drake)","DJ Khaled, Drake",104,3A,57,2026-08-10,03:03,57,"hip hop, miami hip hop, pop rap, rap","Hip Hop, Pop","For Free (feat. Drake)",2016-06-17,92,2,0,50,20,10,-8,A#/B♭ minor,4,4JDZl9nKIAhAhDjw753u4X,"Epic/We The Best",USSM11604297,yes
340,"Sneakin’","Drake, 21 Savage",85,4B,56,2026-08-10,04:11,62,"rap, atl hip hop, hip hop","Hip Hop","Sneakin’",2016-10-24,81,0,0,26,10,10,-7,G#/A♭,4,4ckuS4Nj4FZ7i3Def3Br8W,"Cash Money Records/Young Money Ent./Universal Rec.",USCM51600337,yes
341,"Look Alive (feat. Drake)","BlocBoy JB, Drake",140,6B,58,2026-08-10,03:01,63,"memphis hip hop, memphis rap, rap, tennessee hip hop, trap","Hip Hop","Look Alive (feat. Drake)",2018-02-09,92,0,0,60,20,10,-7,A#/B♭,4,7165YDcOpr9yEypbdpU6fa,"OVO Sound",USWB11800211,yes
342,"Behind Barz - Bonus","Drake",142,4B,55,2026-08-10,02:43,61,"rap","Hip Hop","Behind Barz (Bonus)",2019-09-13,85,77,0,27,10,0,-5,G#/A♭,4,621hMmYrgWG3caSFtbZg2p,"OVO Sound",USWB11902213,yes
343,"LOYAL (feat. Drake and Bad Bunny) - Remix","PARTYNEXTDOOR, Drake, Bad Bunny",105,5A,53,2026-08-10,04:41,62,"dark r&b, r&b, trap soul, rap, reggaeton, trap latino, latin, urbano latino","R&B, Latin, Hip Hop","PARTYMOBILE",2020-03-27,88,48,0,42,0,0,-6,C minor,4,1aVut0Tb18c8BOpLGkfAhp,"OVO Sound",USWB12000196,yes
344,"LOYAL (feat. Drake)","PARTYNEXTDOOR, Drake",105,5A,53,2026-08-10,03:17,66,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","PARTYMOBILE",2020-03-26,87,51,0,20,0,0,-6,C minor,4,2rFqkDRJlumT7QjljlldlR,"OVO Sound",USWB11902978,no
345,"GREECE (feat. Drake)","DJ Khaled, Drake",86,7B,34,2026-08-10,03:39,71,"hip hop, miami hip hop, pop rap, rap","Hip Hop, Pop","KHALED KHALED",2021-04-30,69,8,0,22,0,10,-11,F,4,3gruCKVuhCsRjs3a3dG8CA,"Epic/We The Best",USSM12004502,yes
346,"Only You Freestyle","Headie One, Drake",147,7B,83,2026-08-10,04:08,58,"uk drill, grime, drill, uk grime, rap","Hip Hop, Electronic","Only You Freestyle",2020-07-20,68,56,0,80,20,20,-3,F,4,4OENnoidV0h8gJV6bhrw7r,"Relentless Records",GBARL2000845,yes
347,"TWIST & TURN (feat. Drake & PARTYNEXTDOOR)","Popcaan, Drake, PARTYNEXTDOOR",106,9B,75,2026-08-10,04:19,66,"dancehall, soca, riddim, afrobeats, reggae, ragga, rap, dark r&b, r&b, trap soul","R&B, Traditional Music, Reggae, Hip Hop, Electronic, Latin","FIXTAPE",2020-08-07,57,48,0,64,10,10,-5,G,4,27g5G3TW90FSm3YxclYpAs,"OVO Sound",USWB12002918,no
348,"B.B. King Freestyle (with Drake)","Lil Wayne, Drake",87,1B,55,2026-08-10,03:42,61,"rap, hip hop","Hip Hop","B.B. King Freestyle",2020-11-30,66,46,0,72,40,10,-8,B,4,6EW1fwOk4JHmTZKINZsyjB,"Republic Records",USUG12000438,yes
349,"Lemon Pepper Freestyle (feat. Rick Ross)","Drake, Rick Ross",95,3B,64,2026-08-10,06:23,67,"rap, southern hip hop","Hip Hop","Scary Hours 2",2021-03-05,77,10,0,43,30,10,-6,C♯/D♭,4,4FRW5Nza1Ym91BGV4nFWXI,"OVO",USUG12101043,yes
350,"STAYING ALIVE (feat. Drake & Lil Baby)","DJ Khaled, Drake, Lil Baby",130,9A,50,2026-08-10,02:58,60,"hip hop, miami hip hop, pop rap, rap, atl hip hop, atl trap, trap","Hip Hop, Pop","GOD DID",2022-08-26,68,7,0,15,0,30,-7,E minor,4,7Ddk8FhoYKdsVoX9AOCPMm,"Epic/We The Best",USSM12206682,yes
351,"Who Told You (feat. Drake)","J Hus, Drake",77,10A,73,2026-08-10,03:28,64,"afroswing, grime, uk grime, rap","Hip Hop, R&B, Electronic","Beautiful And Brutal Yard",2023-07-14,71,16,0,88,30,10,-5,B minor,5,6kgaI3kHkqmRimeGQdS4Ga,"Black Butter",GBARL2300716,yes
352,"On The Radar Freestyle","Drake, Central Cee",150,3B,63,2026-08-10,04:35,66,"rap, uk drill, drill, uk grime","Hip Hop","On The Radar Freestyle",2023-07-26,62,11,0,19,20,10,-9,C♯/D♭,4,1L0OmJV0LnPDWuHCIGmBV6,"OVO Sound",USLD91749183,yes
353,"act ii: date @ 8 (feat. Drake) - remix","4batz, Drake",102,8B,55,2026-08-10,03:51,72,"rap","Hip Hop","act ii: date @ 8 (feat. Drake) [remix]",2024-03-08,55,32,0,41,10,0,-9,C,4,3QS9ZCtoSCJhmaJ7QNXSAS,"4batz / OVO Sound",USLD91756695,yes
354,"Circadian Rhythm","Drake",146,12A,57,2026-08-10,02:06,76,"rap","Hip Hop","100 GIGS",2024-08-30,69,19,0,29,0,0,-6,C♯/D♭ minor,4,1eroCliWpJrEu1V7VSObcO,"OVO/Republic",USUG12405324,yes
355,"Housekeeping Knows (feat. Latto)","Drake, Latto",77,11B,73,2026-08-10,03:06,63,"rap, trap queen","Hip Hop","100 GIGS",2024-08-30,78,1,0,34,0,10,-6,A,4,3YPEtDvQWStCH8eCq0Fl8Z,"OVO/Republic",USUG12405320,yes
356,"Who Do You Love?","YG, Drake",193,11B,41,2026-08-10,03:53,73,"hyphy, rap","Hip Hop","My Krazy Life",2014-03-18,68,3,0,16,40,0,-10,A,4,7ngdkrVQPgP3AoIxUrTpHT,"Def Jam Recordings",USUM71400720,yes
357,"R.I.C.O. (feat. Drake)","Meek Mill, Drake",168,3B,60,2026-08-10,03:17,69,"rap","Hip Hop","Dreams Worth More Than Money",2015-06-29,73,32,0,39,30,20,-7,C♯/D♭,3,0Y0TOsE1q11qgbi7c5WZsG,"MMG/Atlantic",USAT21501693,yes
358,"POPSTAR (feat. Drake)","DJ Khaled, Drake",163,4A,56,2026-08-10,03:20,68,"hip hop, miami hip hop, pop rap, rap","Hip Hop, Pop","KHALED KHALED",2021-04-30,80,6,0,47,20,10,-5,F minor,4,1sbEeUY8KsdvgiQi26JBFz,"Epic/We The Best",USSM12004501,yes
359,"Poetic Justice","Kendrick Lamar, Drake",136,11A,57,2026-08-10,05:00,75,"hip hop, west coast hip hop, rap","Hip Hop","good kid, m.A.A.d city (Deluxe)",2012-00-00,78,16,0,64,30,20,-10,F#/G♭ minor,4,2P3SLxeQHPqh8qKB6gtJY2,"Aftermath",USUM71211004,yes
360,"Say Something (Featuring Drake)","Timbaland, Drake",80,1B,71,2026-08-10,04:00,68,"dance pop, pop, pop rap, rap","Electronic, Pop, Hip Hop","Shock Value II",2009-01-01,56,8,0,73,0,70,-5,B,4,7qje9qxLncMESiPeI27SAn,"Timbaland",USUM70904795,yes
361,"Churchill Downs (feat. Drake)","Jack Harlow, Drake",96,1B,52,2026-08-10,05:09,71,"deep underground hip hop, hip hop, kentucky hip hop, pop rap, rap","Hip Hop, Pop","Come Home The Kids Miss You",2022-05-06,71,62,0,37,30,10,-9,B,4,3EMp20j5E42MxfFbsEsIvD,"Generation Now/Atlantic",USAT22203487,yes
362,"Having Our Way (feat. Drake)","Migos, Drake",126,3B,54,2026-08-10,04:38,67,"trap, rap","Hip Hop","Culture III",2021-06-11,93,3,0,22,10,0,-4,C♯/D♭,4,2NM0qHzx4Ohy8iXHEEgwlO,"Quality Control Music/Motown Records",USUG12101672,yes
363,"Outta Time (feat. Drake)","Bryson Tiller, Drake",93,4A,58,2026-08-10,03:18,68,"trap soul, r&b, rap","R&B, Hip Hop","A N N I V E R S A R Y",2020-10-02,71,1,0,34,0,0,-7,F minor,4,4SCnCPOUOUXUmCX2uHb3r7,"TrapSoul/RCA Records",USRC12003234,no
364,"Going Bad (feat. Drake)","Meek Mill, Drake",86,9A,50,2026-08-10,03:00,80,"rap","Hip Hop","Championships",2018-11-30,89,26,0,54,0,20,-6,E minor,4,2IRZnDFmlqMuOrYOLnZZyc,"MMG/Atlantic",USAT21812710,yes
365,"Girls Need Love (with Drake) - Remix","Summer Walker, Drake",97,11A,43,2026-08-10,03:42,80,"r&b, rap","R&B, Hip Hop","Last Day Of Summer",2018-10-19,66,44,0,9,20,10,-9,F#/G♭ minor,4,14SaZBTjxlorHJQxXh01Hu,"LVRN/Interscope Records",USUM71903117,yes
366,"Walk It Talk It","Migos, Drake",146,10B,63,2026-08-10,04:36,77,"trap, rap","Hip Hop","Culture II",2018-01-26,91,9,0,40,10,10,-5,D,4,6n4U3TlzUGhdSFbUUhTvLP,"Quality Control Music, LLC",USUM71800983,yes
367,"Where Ya At (feat. Drake)","Future, Drake",162,3B,45,2026-08-10,03:28,67,"rap, trap","Hip Hop","DS2 (Deluxe)",2015-07-17,81,9,0,19,30,10,-7,C♯/D♭,4,5nN8BwAQDJDguq7Dpd3JQQ,"Epic/Freebandz/A1",USSM11505577,yes
368,"Used to This (feat. Drake)","Future, Drake",165,2A,73,2026-08-10,03:00,60,"rap, trap","Hip Hop","FUTURE",2017-06-30,62,3,0,40,20,20,-7,D#/E♭ minor,4,78sr3ogs4UzITcCNbXM9cM,"Epic/Freebandz/A1",USSM11608607,yes
369,"No Complaints (feat. Offset & Drake) (Bonus)","Metro Boomin, Offset, Drake",124,10B,57,2026-08-10,04:25,69,"rap, atl hip hop, hip hop, pop rap, trap","Hip Hop, Pop","NOT ALL HEROES WEAR CAPES (Deluxe)",2018-11-06,91,7,0,20,10,0,-9,D,4,156LzfvMNKuXuiot4uzhGD,"Republic Records",USUG11700928,yes
370,"Mr. Right Now (feat. Drake)","21 Savage, Metro Boomin, Drake",172,7B,67,2026-08-10,03:13,66,"atl hip hop, hip hop, rap","Hip Hop","SAVAGE MODE II",2020-10-02,65,23,0,70,30,10,-6,F,4,4Q34FP1AT7GEl9oLgNtiWj,"Slaughter Gang, LLC/Epic/Boominati Worldwide/Republic",USSM12005343,yes
371,"WASTING TIME (FEAT. DRAKE & THE NEPTUNES)","Brent Faiyaz, Drake, The Neptunes",89,6A,72,2026-08-10,05:01,61,"r&b, rap","R&B, Hip Hop","WASTELAND",2022-07-08,44,7,0,37,0,0,-4,G minor,4,6N9U1wkWniSXD4TKD4ln0h,"Lost Kids LLC., Marketed by Venice / Stem",QM24S2103302,yes
372,"Over Here (feat. Drake)","PARTYNEXTDOOR, Drake",97,4B,59,2026-08-10,02:57,64,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","PARTYNEXTDOOR",2013-07-01,80,4,0,18,10,10,-7,G#/A♭,4,43xzI2dp9CTUsmZXjm1voH,"OVO Sound",USWB11302163,yes
373,"Mine (feat. Drake)","Beyoncé, Drake",103,7B,43,2026-08-10,06:18,61,"pop, r&b, rap","Pop, R&B, Hip Hop","BEYONCÉ [Platinum Edition]",2014-11-24,56,7,0,10,10,10,-11,F,4,63FrXif0Pdu4NAPvTh87mw,"Parkwood Entertainment/Columbia",USSM11307806,yes
374,"Recognize (feat. Drake)","PARTYNEXTDOOR, Drake",120,10B,54,2026-08-10,05:11,78,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","PARTYNEXTDOOR TWO",2014-07-29,64,1,0,17,0,10,-6,D,4,1DMYEiuAgz1OKvANXiNFrN,"OVO Sound",USWB11401866,yes
375,"In The Morning","J. Cole, Drake",83,2A,67,2026-08-10,03:54,72,"rap","Hip Hop","Cole World: The Sideline Story",2011-09-27,44,76,0,48,40,20,-11,D#/E♭ minor,4,4OkiWfrZKmmVoILXk8JEtl,"Roc Nation LLC",USQX91100167,no
376,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)","A$AP Rocky, Drake, 2 Chainz, Kendrick Lamar",96,3B,69,2026-08-10,03:53,81,"rap, southern hip hop, hip hop, west coast hip hop","Hip Hop","LONG.LIVE.A$AP (Deluxe Version)",2013-00-00,85,2,0,66,20,10,-7,C♯/D♭,4,4X5f3vT8MRuXF68pfjNte5,"A$AP Worldwide/Polo Grounds Music/RCA Records",USRC11201220,yes
377,"Right Here","Justin Bieber, Drake",92,3B,57,2026-08-10,03:24,71,"canadian pop, pop, rap","Pop, Hip Hop","Believe (Deluxe Edition)",2012-06-15,64,2,0,73,0,30,-5,C♯/D♭,4,7vjtAU3Ns1AT4dRa0voHBJ,"RBMG/Def Jam",USUM71205295,no
378,"What's My Name?","Rihanna, Drake",100,10B,78,2026-08-10,04:23,83,"barbadian pop, pop, urban contemporary, rap","Pop, Hip Hop, R&B","Loud",2010-01-01,69,18,0,56,0,0,-3,D,4,6DkXLzBQT7cwXmTyzAB1DJ,"Def Jam Recordings",USUM71025031,yes
379,"Odio (feat. Drake)","Romeo Santos, Drake",128,5A,73,2026-08-10,03:45,83,"bachata, latin, rap","Latin, Hip Hop","Fórmula, Vol. 2 (Deluxe Edition)",2014-02-25,80,57,0,60,0,0,-6,C minor,4,1iLv1ieT9BZ3qsti9yTCnG,"Sony Music Latin",USSD11300465,no
380,"Ahí","KAROL G, Drake",100,6A,59,2026-08-10,02:56,87,"reggaeton, latin, urbano latino, rap","Latin, Hip Hop","NO ME ARREPIENTO DE SENTIR TANTO",2026-08-07,62,43,0,45,20,20,-5,G minor,4,6DoUDG1GJrJf6eGQLUBBnm,"Bichota/Interscope Records",USUG12607934,no
381,"MOTH BALLS","PARTYNEXTDOOR, Drake",96,3B,46,2026-08-10,03:32,67,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,51,39,0,19,10,10,-8,C♯/D♭,4,7DL2F2bueQycqYjqsjHYjG,"OVO Sound",USLD91772020,yes
382,"CRYING IN CHANEL","Drake",113,10B,41,2026-08-10,03:19,63,"rap","Hip Hop","$ome $exy $ongs 4 U",2025-02-14,60,22,0,12,0,10,-9,D,4,5aIEFCKhVUM5sKkwOSdFiM,"OVO Sound",USLD91772022,yes
383,"SOMETHING ABOUT YOU","PARTYNEXTDOOR, Drake",136,6A,49,2026-08-10,03:38,75,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,51,24,0,8,10,30,-9,G minor,4,1F6nHHDJyTHLgDDFj1ZZDt,"OVO Sound",USLD91772021,yes
384,"SPIDER-MAN SUPERMAN","PARTYNEXTDOOR, Drake",111,1B,52,2026-08-10,03:23,70,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,45,66,0,11,0,10,-9,B,4,4GqhG9rDuRUoNyDSMJ0Brq,"OVO Sound",USLD91772023,yes
385,"SMALL TOWN FAME","Drake",100,12A,52,2026-08-10,02:28,66,"rap","Hip Hop","$ome $exy $ongs 4 U",2025-02-14,84,44,0,35,30,30,-6,C♯/D♭ minor,4,1YHQQFtKqFSFrqL4cNvstU,"OVO Sound",USLD91772025,yes
386,"PIMMIE'S DILEMMA","Pimmie, PARTYNEXTDOOR, Drake",130,1B,22,2026-08-10,01:58,65,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,73,94,0,25,0,10,-8,B,4,3CY3zAjrxKVInh2Lq1QiRb,"OVO Sound",USLD91772026,no
387,"BRIAN STEEL","Drake",147,9A,56,2026-08-10,01:51,63,"rap","Hip Hop","$ome $exy $ongs 4 U",2025-02-14,76,10,0,47,10,20,-8,E minor,4,3FHO87BSOEVAsedSnCTnvz,"OVO Sound",USLD91772027,yes
388,"GIMME A HUG","Drake",143,3B,67,2026-08-10,03:13,71,"rap","Hip Hop","$ome $exy $ongs 4 U",2025-02-14,46,6,0,25,10,0,-6,C♯/D♭,4,5Nz7hI3cCOHmMR4vSLJ1An,"OVO Sound",USLD91772028,yes
389,"MEET YOUR PADRE","PARTYNEXTDOOR, Drake, Chino Pacas",128,10A,60,2026-08-10,04:31,60,"dark r&b, r&b, trap soul, rap, corrido, corridos tumbados, corridos bélicos, música mexicana","Latin, Traditional Music, R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,71,67,0,72,0,10,-9,B minor,4,0o5p5zzRN84q6qVbOVONPM,"OVO Sound",USLD91772031,no
390,"NOKIA","Drake",106,7B,73,2026-08-10,04:01,83,"rap","Hip Hop","$ome $exy $ongs 4 U",2025-02-14,54,25,0,51,10,10,-4,F,4,2u9S9JJ6hTZS3Vf22HOZKg,"OVO Sound",USLD91772032,yes
391,"DIE TRYING","PARTYNEXTDOOR, Drake, Yebba",110,1B,53,2026-08-10,03:15,83,"dark r&b, r&b, trap soul, rap, pop soul","R&B, Pop, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,76,15,0,67,0,10,-6,B,4,0NUqi0ps17YpLUC3kgsZq0,"OVO Sound",USLD91772033,yes
392,"CELIBACY","PARTYNEXTDOOR, Drake",120,6A,36,2026-08-10,03:55,66,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,49,35,0,15,0,0,-10,G minor,4,578CwfxpfH2HxlENOCHc2n,"OVO Sound",USLD91772035,yes
393,"OMW","PARTYNEXTDOOR, Drake",144,7B,55,2026-08-10,03:53,66,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,39,10,0,12,0,10,-6,F,4,775a936b2Vzl3fw86FaVat,"OVO Sound",USLD91772036,yes
394,"WHEN HE'S GONE","PARTYNEXTDOOR, Drake",86,9A,50,2026-08-10,03:29,67,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,44,84,0,25,20,0,-6,E minor,4,6mmPe3Y3SEtYb9HZsHTyrj,"OVO Sound",USLD91772038,yes
395,"GREEDY","PARTYNEXTDOOR, Drake",132,1A,37,2026-08-10,06:26,68,"dark r&b, r&b, trap soul, rap","R&B, Hip Hop","$ome $exy $ongs 4 U",2025-02-14,36,90,0,15,0,10,-8,G#/A♭ minor,4,2MjQmsRAUArE2GDwjsVew3,"OVO Sound",USLD91772039,no
396,"What Did I Miss?","Drake",126,5A,81,2026-08-10,03:14,81,"rap","Hip Hop","ICEMAN",2026-05-15,76,18,0,51,0,20,-4,C minor,4,7oDbkGSI3IRzKmhrTiQdID,"OVO/Republic",USUG12505774,yes
397,"Which One (feat. Central Cee)","Drake, Central Cee",120,6B,50,2026-08-10,02:49,75,"rap, uk drill, drill, uk grime","Hip Hop","MAID OF HONOUR",2026-05-15,91,42,0,52,30,10,-7,A#/B♭,4,4qLHbbVJjNsOqWxHrTtvgx,"OVO/Republic",USUG12506621,yes
